,Start,End,Crackles,Wheezes,duration,start_index,end_index,start_index_int,end_index_int,y_segment,source
0,0.036,0.579,0,0,0.5429999999999999,793.8,12766.949999999999,793,12766,"[-0.04873171 -0.04849143 -0.04823481 ... -0.08675144 -0.08687682
 -0.08693124]",101_1b1_Al_sc_Meditron
1,0.579,2.45,0,0,1.8710000000000002,12766.949999999999,54022.50000000001,12766,54022,"[-0.08709788 -0.08723557 -0.08731082 ... -0.02195927 -0.02181599
 -0.02169704]",101_1b1_Al_sc_Meditron
2,2.45,3.893,0,0,1.4429999999999996,54022.50000000001,85840.65,54022,85840,"[-0.02180955 -0.02179321 -0.02166934 ... -0.12314763 -0.12324389
 -0.12332696]",101_1b1_Al_sc_Meditron
3,3.893,5.793,0,0,1.9000000000000004,85840.65,127735.65000000001,85840,127735,"[-0.12341598 -0.12354963 -0.12356759 ...  0.04257121  0.04275629
  0.04287489]",101_1b1_Al_sc_Meditron
4,5.793,7.521,0,0,1.7279999999999998,127735.65000000001,165838.05,127735,165838,"[ 0.04297349  0.04315756  0.04330058 ... -0.0639165  -0.06329159
 -0.06283387]",101_1b1_Al_sc_Meditron
5,7.521,9.279,0,0,1.758,165838.05,204601.95,165838,204601,"[-0.06238656 -0.06178879 -0.0615117  ...  0.02749041  0.02735555
  0.02723022]",101_1b1_Al_sc_Meditron
6,9.279,11.15,0,0,1.8710000000000004,204601.95,245857.5,204601,245857,"[ 0.02698208  0.02668935  0.0264779  ... -0.05838777 -0.0584228
 -0.05848826]",101_1b1_Al_sc_Meditron
7,11.15,13.036,0,0,1.8859999999999992,245857.5,287443.8,245857,287443,"[-0.05852839 -0.05853324 -0.05862353 ... -0.01855638 -0.01825271
 -0.01799867]",101_1b1_Al_sc_Meditron
8,13.036,14.721,0,0,1.6850000000000005,287443.8,324598.05,287443,324598,"[-0.0177936  -0.01744104 -0.01715636 ...  0.02863173  0.02883428
  0.02893716]",101_1b1_Al_sc_Meditron
9,14.721,16.707,0,0,1.9860000000000007,324598.05,368389.35000000003,324598,368389,"[ 0.0290729   0.0291827   0.02926379 ... -0.02781085 -0.0277172
 -0.02781319]",101_1b1_Al_sc_Meditron
10,16.707,18.507,0,0,1.8000000000000007,368389.35000000003,408079.35000000003,368389,408079,"[-0.02794643 -0.02806539 -0.02805448 ...  0.2622139   0.2627974
  0.2633772 ]",101_1b1_Al_sc_Meditron
11,18.507,19.964,0,0,1.4569999999999972,408079.35000000003,440206.19999999995,408079,440206,[0.26385534 0.26435095 0.26472625 ... 0.20725007 0.20852394 0.20979281],101_1b1_Al_sc_Meditron
0,0.036,1.264,0,0,1.228,793.8,27871.2,793,27871,"[-0.04493756 -0.04495202 -0.04492871 ... -0.03019809 -0.03030414
 -0.03028459]",101_1b1_Pr_sc_Meditron
1,1.264,3.422,0,0,2.1580000000000004,27871.2,75455.1,27871,75455,"[-0.03039303 -0.03047149 -0.03043697 ...  0.00803922  0.00777071
  0.00747972]",101_1b1_Pr_sc_Meditron
2,3.422,5.55,0,0,2.1279999999999997,75455.1,122377.5,75455,122377,[0.00730915 0.00701764 0.00663066 ... 0.0095711  0.00952518 0.00948421],101_1b1_Pr_sc_Meditron
3,5.55,7.436,0,0,1.8860000000000001,122377.5,163963.8,122377,163963,"[ 0.00936527  0.00925435  0.00912436 ... -0.01712161 -0.01709443
 -0.01710444]",101_1b1_Pr_sc_Meditron
4,7.436,9.221,0,0,1.7850000000000001,163963.8,203323.05,163963,203323,"[-0.01718519 -0.01728422 -0.01734466 ...  0.0226215   0.02257032
  0.02250508]",101_1b1_Pr_sc_Meditron
5,9.221,11.264,0,0,2.0429999999999993,203323.05,248371.19999999998,203323,248371,"[ 0.02245019  0.02237238  0.02225846 ... -0.05545411 -0.0558604
 -0.05624958]",101_1b1_Pr_sc_Meditron
6,11.264,13.264,0,0,2.0,248371.19999999998,292471.2,248371,292471,"[-0.05667034 -0.05715865 -0.05752395 ...  0.044093    0.04391971
  0.04388363]",101_1b1_Pr_sc_Meditron
7,13.264,15.179,0,0,1.915000000000001,292471.2,334696.95,292471,334696,[0.04396214 0.04380221 0.04358774 ... 0.06689109 0.06717301 0.06751455],101_1b1_Pr_sc_Meditron
8,15.179,17.207,0,0,2.0280000000000005,334696.95,379414.35000000003,334696,379414,[0.06794973 0.06831878 0.06858247 ... 0.06100194 0.06095709 0.06101145],101_1b1_Pr_sc_Meditron
9,17.207,19.179,0,0,1.9719999999999978,379414.35000000003,422896.94999999995,379414,422896,"[ 0.06094357  0.06103268  0.06095381 ... -0.00245871 -0.00283256
 -0.00298904]",101_1b1_Pr_sc_Meditron
10,19.179,19.936,0,0,0.7570000000000014,422896.94999999995,439588.8,422896,439588,"[-0.00324761 -0.00354033 -0.003734   ... -0.08261745 -0.0829004
 -0.08321717]",101_1b1_Pr_sc_Meditron
0,0.264,1.736,0,0,1.472,5821.200000000001,38278.8,5821,38278,"[ 0.04416773  0.04422866  0.04421021 ... -0.01262801 -0.01260638
 -0.01262221]",102_1b1_Ar_sc_Meditron
1,1.736,3.293,0,0,1.5570000000000002,38278.8,72610.65000000001,38278,72610,"[-0.01264129 -0.01273797 -0.01288751 ...  0.01843073  0.01843334
  0.01853238]",102_1b1_Ar_sc_Meditron
2,3.293,5.307,0,0,2.0140000000000002,72610.65000000001,117019.35,72610,117019,[0.0184938  0.01844989 0.01838013 ... 0.00902218 0.00892767 0.00894598],102_1b1_Ar_sc_Meditron
3,5.307,6.636,0,0,1.3289999999999997,117019.35,146323.8,117019,146323,"[ 0.00897416  0.00901146  0.00910651 ... -0.03317902 -0.03311205
 -0.0328893 ]",102_1b1_Ar_sc_Meditron
4,6.636,8.036,0,0,1.3999999999999995,146323.8,177193.8,146323,177193,"[-0.03282484 -0.03272544 -0.03262561 ... -0.03011845 -0.03031111
 -0.03050411]",102_1b1_Ar_sc_Meditron
5,8.036,9.607,0,0,1.5709999999999997,177193.8,211834.34999999998,177193,211834,"[-0.03069164 -0.03088689 -0.03108285 ...  0.00593535  0.00588367
  0.0057838 ]",102_1b1_Ar_sc_Meditron
6,9.607,11.036,0,0,1.4290000000000003,211834.34999999998,243343.8,211834,243343,[0.00565044 0.00546291 0.00528805 ... 0.00409677 0.00425692 0.00440415],102_1b1_Ar_sc_Meditron
7,11.036,13.036,0,0,2.0,243343.8,287443.8,243343,287443,[0.00458247 0.00477099 0.00493815 ... 0.00419042 0.00427705 0.00431199],102_1b1_Ar_sc_Meditron
8,13.036,14.664,0,0,1.6280000000000001,287443.8,323341.2,287443,323341,"[ 0.00435955  0.0044719   0.0044486  ... -0.04328275 -0.04335085
 -0.04337714]",102_1b1_Ar_sc_Meditron
9,14.664,16.393,0,0,1.729000000000001,323341.2,361465.65,323341,361465,"[-0.04342434 -0.04345576 -0.04344128 ...  0.01540177  0.0154667
  0.01559022]",102_1b1_Ar_sc_Meditron
10,16.393,17.893,0,0,1.5,361465.65,394540.65,361465,394540,"[ 0.01561163  0.01571281  0.0157204  ... -0.03294512 -0.03288115
 -0.03278225]",102_1b1_Ar_sc_Meditron
11,17.893,19.593,0,0,1.6999999999999993,394540.65,432025.65,394540,432025,"[-0.03266924 -0.03254326 -0.0323812  ...  0.05177695  0.05188572
  0.05182874]",102_1b1_Ar_sc_Meditron
12,19.593,19.964,0,0,0.37099999999999866,432025.65,440206.19999999995,432025,440206,[0.05189404 0.05204346 0.05207283 ... 0.02587698 0.02585451 0.02594476],102_1b1_Ar_sc_Meditron
